current_a,rms_a,is_occupied,temperature,humidity,hour,day_of_week,is_weekend,month,day_of_month,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,energy_rolling_mean,energy_rolling_std,energy_lag_1,energy_change,occupancy_duration,occupancy_rolling_mean,location_LAB_1,location_LAB_12,location_Room_1,location_TEST_ROOM,module_EN_lap,module_Fan_1,module_MOD001,module_MOD0011,module_MOD0012,module_MOD_CUR_002,energy_watts,split
0.05895,0.05895,,,,19,5,1,1,3,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,14.161114000000001,0.8799589510190546,13.67058,-0.7015799999999981,744.0,0.0,True,False,False,False,False,False,True,False,False,False,12.969000000000001,train
0.050557,0.050557,,,,18,5,1,1,3,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,12.957669999999998,1.6362769211254165,11.986040000000001,-0.8635000000000019,463.0,0.0,True,False,False,False,False,False,True,False,False,False,11.122539999999999,train
0.0,0.0,,,,21,5,1,1,3,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,0.0,0.0,0.0,0.0,985.0,0.0,True,False,False,False,False,False,True,False,False,False,0.0,train
0.058219,0.058219,,,,19,5,1,1,3,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,13.832367999999999,1.055605674157812,16.09696,-3.288779999999999,678.0,0.0,True,False,False,False,False,False,True,False,False,False,12.80818,train
0.433985,0.433985,,,,16,6,1,1,4,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,98.013586,8.900182922535011,100.16423999999999,-4.687539999999984,1162.0,0.0,True,False,False,False,False,False,True,False,False,False,95.47670000000001,train
0.218759,0.218759,,,,13,5,1,1,3,-0.2588190451025208,-0.9659258262890683,-0.9749279121818236,-0.2225209339563146,49.804193999999995,1.3876154767100781,52.0069,-3.8799199999999985,304.0,0.0,True,False,False,False,False,False,True,False,False,False,48.12698,train
0.0,0.0,,,,14,5,1,1,3,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0.0,0.0,0.0,0.0,383.0,0.0,False,False,True,False,False,True,False,False,False,False,0.0,train
0.336732,0.336732,,,,17,6,1,1,4,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,40.027856,35.397139852415414,82.53498,-8.453940000000003,1234.0,0.0,True,False,False,False,False,False,True,False,False,False,74.08104,train
0.0,0.0,,,,15,6,1,1,4,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,4.621606,14.61480140790023,0.0,0.0,1099.0,0.0,True,False,False,False,False,False,True,False,False,False,0.0,train
0.0,0.0,,,,16,6,1,1,4,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,0.0,0.0,0.0,0.0,1117.0,0.0,True,False,False,False,False,False,True,False,False,False,0.0,train
0.0,0.0,,,,21,5,1,1,3,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,0.0,0.0,0.0,0.0,977.0,0.0,True,False,False,False,False,False,True,False,False,False,0.0,train
0.057101,0.057101,,,,18,5,1,1,3,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,12.923218,0.887541123856561,13.331339999999999,-0.7691199999999991,514.0,0.0,True,False,False,False,False,False,True,False,False,False,12.56222,train
0.451294,0.451294,,,,16,6,1,1,4,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,98.11274,7.066626482672032,98.92124,0.3634399999999971,1141.0,0.0,True,False,False,False,False,False,True,False,False,False,99.28468,train
0.057218,0.057218,,,,18,5,1,1,3,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,13.461756,0.5480408357765801,13.498099999999999,-0.9101400000000002,549.0,0.0,True,False,False,False,False,False,True,False,False,False,12.587959999999999,train
0.23991,0.23991,,,,13,5,1,1,3,-0.2588190451025208,-0.9659258262890683,-0.9749279121818236,-0.2225209339563146,52.106978000000005,2.6262761722163788,49.01556,3.76464,244.0,0.0,True,False,False,False,False,False,True,False,False,False,52.7802,train
